Title,Price (GBP),Price (USD)
A Light in the Attic,£ 51.77,70.09 USD
Tipping the Velvet,£ 53.74,72.75 USD
Soumission,£ 50.10,67.83 USD
Sharp Objects,£ 47.82,64.74 USD
Sapiens: A Brief History of Humankind,£ 54.23,73.42 USD
The Requiem Red,£ 22.65,30.66 USD
The Dirty Little Secrets of Getting Your Dream Job,£ 33.34,45.14 USD
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£ 17.93,24.27 USD
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£ 22.60,30.60 USD
The Black Maria,£ 52.15,70.60 USD
"Starving Hearts (Triangular Trade Trilogy, #1)",£ 13.99,18.94 USD
Shakespeare's Sonnets,£ 20.66,27.97 USD
Set Me Free,£ 17.46,23.64 USD
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£ 52.29,70.79 USD
Rip it Up and Start Again,£ 35.02,47.41 USD
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£ 57.25,77.51 USD
Olio,£ 23.88,32.33 USD
Mesaerion: The Best Science Fiction Stories 1800-1849,£ 37.59,50.89 USD
Libertarianism for Beginners,£ 51.33,69.49 USD
It's Only the Himalayas,£ 45.17,61.15 USD
